"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts"
"209","MotorDown","","point","-659.8630751343169,3742.269461446379,7020.020000000004","nest_bird","53_1"
"210","MotorDown","","point","-705.8797270578501,4003.242862900013,7919.749910714278","nest_bird","53_2"
"211","MotorDown","","point","-705.1124851936679,3998.89161806441,7020.020000000004","nest_bird","53_3"
"212","MotorDown","","point","-701.1044597511029,3976.160976239417,2319.884955357164","nest_bird","53_4"
"213","MotorDown","","point","-220.9503498597895,3793.571001430806,7020.020000000004","nest_bird","54_1"
"214","MotorDown","","point","-236.358690961176,4058.122001325032,7919.749910714278","nest_bird","54_2"
"215","MotorDown","","point","-236.1017856050426,4053.711106706532,7020.020000000004","nest_bird","54_3"
"216","MotorDown","","point","-234.7597274460816,4030.66885799634,2319.884955357164","nest_bird","54_4"
"217","MotorUp","","point","220.9503498598251,3793.571001430817,9020.020000000004","nest_bird","1_1"
"218","MotorUp","","point","236.3586909611838,4058.122001325054,8120.290089285722","nest_bird","1_2"
"219","MotorUp","","point","236.1017856050468,4053.711106706545,9020.020000000004","nest_bird","1_3"
"220","MotorUp","","point","234.7597274460856,4030.668857996349,13720.15504464284","nest_bird","1_4"
"221","MotorUp","","point","659.8630751343519,3742.269461446386,9020.020000000004","nest_bird","2_1"
"222","MotorUp","","point","705.8797270578584,4003.242862900035,8120.290089285722","nest_bird","2_2"
"223","MotorUp","","point","705.1124851936719,3998.891618064423,9020.020000000004","nest_bird","2_3"
"224","MotorUp","","point","701.1044597511061,3976.160976239426,13720.15504464284","nest_bird","2_4"
"225","MotorUp","","point","1089.852284302159,3640.360146798851,9020.020000000004","nest_bird","3_1"
"226","MotorUp","","point","1165.854950771373,3894.226732252916,8120.290089285722","nest_bird","3_2"
"227","MotorUp","","point","1164.587748029159,3889.993980322111,9020.020000000004","nest_bird","3_3"
"228","MotorUp","","point","1157.967956971396,3867.882338318947,13720.15504464284","nest_bird","3_4"
"229","MotorUp","","point","1505.103110948811,3489.221206145033,9020.020000000004","nest_bird","4_1"
"230","MotorUp","","point","1610.063986281086,3732.547865535284,8120.290089285722","nest_bird","4_2"
"231","MotorUp","","point","1608.313959404067,3728.490847217934,9020.020000000004","nest_bird","4_3"
"232","MotorUp","","point","1599.171924049018,3707.297227062529,13720.15504464284","nest_bird","4_4"
"233","MotorUp","","point","1900.000000000014,3290.896534380857,9020.020000000004","nest_bird","5_1"
"234","MotorUp","","point","2032.499668415171,3520.392692062004,8120.290089285722","nest_bird","5_2"
"235","MotorUp","","point","2030.290483514716,3516.566271571101,9020.020000000004","nest_bird","5_3"
"236","MotorUp","","point","2018.749834207545,3496.577280618743,13720.15504464284","nest_bird","5_4"
"237","MotorUp","","point","2269.2026484706,3048.068132469155,9020.020000000004","nest_bird","6_1"
"238","MotorUp","","point","2427.449279254371,3260.630246605521,8120.290089285722","nest_bird","6_2"
"239","MotorUp","","point","2424.810811766436,3257.086169714042,9020.020000000004","nest_bird","6_3"
"240","MotorUp","","point","2411.027615991224,3238.57212477657,13720.15504464284","nest_bird","6_4"
"241","MotorUp","","point","2607.718223901199,2764.019837977572,9020.020000000004","nest_bird","7_1"
"242","MotorUp","","point","2789.571802841777,2956.773370622344,8120.290089285722","nest_bird","7_2"
"243","MotorUp","","point","2786.53973351289,2953.55956489044,9020.020000000004","nest_bird","7_3"
"244","MotorUp","","point","2770.700385347646,2936.770836665088,13720.15504464284","nest_bird","7_4"
"245","MotorUp","","point","2910.968883852126,2442.592916808835,9020.020000000004","nest_bird","8_1"
"246","MotorUp","","point","3113.970153261225,2612.931207098573,8120.290089285722","nest_bird","8_2"
"247","MotorUp","","point","3110.585485627593,2610.091133735534,9020.020000000004","nest_bird","8_3"
"248","MotorUp","","point","3092.904185084105,2595.254760970757,13720.15504464284","nest_bird","8_4"
"249","MotorUp","","point","3174.853683369166,2088.134116669049,9020.020000000004","nest_bird","9_1"
"250","MotorUp","","point","3396.257399323435,2233.753631440174,8120.290089285722","nest_bird","9_2"
"251","MotorUp","","point","3392.565905208458,2231.325697566137,9020.020000000004","nest_bird","9_3"
"252","MotorUp","","point","3373.281761544592,2218.64231675202,13720.15504464284","nest_bird","9_4"
"253","MotorUp","","point","3395.804033228972,1705.436884761741,9020.020000000004","nest_bird","10_1"
"254","MotorUp","","point","3632.616090284635,1824.368369884907,8120.290089285722","nest_bird","10_2"
"255","MotorUp","","point","3628.667690813522,1822.385409140435,9020.020000000004","nest_bird","10_3"
"256","MotorUp","","point","3608.041488990693,1812.026541244354,13720.15504464284","nest_bird","10_4"
"257","MotorUp","","point","3570.831958986456,1299.676544637525,9020.020000000004","nest_bird","11_1"
"258","MotorUp","","point","3819.849880319104,1390.311655801486,8120.290089285722","nest_bird","11_2"
"259","MotorUp","","point","3815.697970821284,1388.800484328913,9020.020000000004","nest_bird","11_3"
"260","MotorUp","","point","3794.008644835229,1380.906215268691,13720.15504464284","nest_bird","11_4"
"261","MotorUp","","point","3697.570508203333,876.3403088212559,9020.020000000004","nest_bird","12_1"
"262","MotorUp","","point","3955.426753613173,937.4533616305931,8120.290089285722","nest_bird","12_2"
"263","MotorUp","","point","3951.127481542072,936.4344154316937,9020.020000000004","nest_bird","12_3"
"264","MotorUp","","point","3928.668342319063,931.1115016538789,13720.15504464284","nest_bird","12_4"
"265","MotorUp","","point","3774.305759419384,441.153073675858,9020.020000000004","nest_bird","13_1"
"266","MotorUp","","point","4037.513265535481,471.9176189297818,8120.290089285722","nest_bird","13_2"
"267","MotorUp","","point","4033.124771170528,471.4046775039109,9020.020000000004","nest_bird","13_3"
"268","MotorUp","","point","4010.199540040265,468.7251022859757,13720.15504464284","nest_bird","13_4"
"269","MotorUp","","point","3799.999999999998,-1.685407369222958e-11,9020.020000000004","nest_bird","14_1"
"270","MotorUp","","point","4064.999336830369,1.611510924703907e-11,8120.290089285722","nest_bird","14_2"
"271","MotorUp","","point","4060.580967029458,1.583089215273503e-11,9020.020000000004","nest_bird","14_3"
"272","MotorUp","","point","4037.499668415114,1.440980668121483e-11,13720.15504464284","nest_bird","14_4"
"273","MotorUp","","point","3774.30575941938,-441.1530736758915,9020.020000000004","nest_bird","15_1"
"274","MotorUp","","point","4037.513265535485,-471.91761892975,8120.290089285722","nest_bird","15_2"
"275","MotorUp","","point","4033.124771170532,-471.4046775038796,9020.020000000004","nest_bird","15_3"
"276","MotorUp","","point","4010.199540040268,-468.7251022859471,13720.15504464284","nest_bird","15_4"
"277","MotorUp","","point","3697.570508203325,-876.3403088212888,9020.020000000004","nest_bird","16_1"
"278","MotorUp","","point","3955.42675361318,-937.453361630562,8120.290089285722","nest_bird","16_2"
"279","MotorUp","","point","3951.127481542079,-936.434415431663,9020.020000000004","nest_bird","16_3"
"280","MotorUp","","point","3928.668342319069,-931.1115016538511,13720.15504464284","nest_bird","16_4"
"281","MotorUp","","point","3570.831958986445,-1299.676544637556,9020.020000000002","nest_bird","17_1"
"282","MotorUp","","point","3819.849880319115,-1390.311655801455,8120.290089285721","nest_bird","17_2"
"283","MotorUp","","point","3815.697970821295,-1388.800484328882,9020.020000000002","nest_bird","17_3"
"284","MotorUp","","point","3794.008644835239,-1380.906215268663,13720.15504464284","nest_bird","17_4"
"285","MotorUp","","point","3395.804033228957,-1705.436884761771,9020.020000000004","nest_bird","18_1"
"286","MotorUp","","point","3632.61609028465,-1824.368369884878,8120.290089285722","nest_bird","18_2"
"287","MotorUp","","point","3628.667690813536,-1822.385409140407,9020.020000000004","nest_bird","18_3"
"288","MotorUp","","point","3608.041488990706,-1812.026541244328,13720.15504464284","nest_bird","18_4"
"289","MotorUp","","point","3174.853683369148,-2088.134116669075,9020.020000000004","nest_bird","19_1"
