"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts"
"244","Center01_Glass","","point","338.3184910072358,123.137860428309,2878.428438126743","nest_bird","4_4"
"245","Center01_Glass","","point","336.5749433221049,122.5032609689407,2578.820361981266","nest_bird","4_3"
"246","Center01_Glass","","point","336.4099582413481,122.4432113105896,2280.000000000005","nest_bird","4_2"
"247","Center01_Glass","","point","336.4099582413476,122.443211310591,1980.000000000005","nest_bird","4_1"
"248","Center01_Glass","","point","276.535133637158,478.9729015370616,6153.130015505141","nest_bird","2_15"
"249","Center01_Glass","","point","250.8725975822184,434.5240852391518,5860.84620454492","nest_bird","2_14"
"250","Center01_Glass","","point","233.5608304801352,404.5392250495836,5567.133835047682","nest_bird","2_13"
"251","Center01_Glass","","point","223.1040426337907,386.4275372157479,5269.471834426583","nest_bird","2_12"
"252","Center01_Glass","","point","214.2820810734569,371.14745157083,4971.387723420203","nest_bird","2_11"
"253","Center01_Glass","","point","206.3848497139436,357.4690456170212,4672.189618259737","nest_bird","2_10"
"254","Center01_Glass","","point","199.5365153648648,345.6073825772006,4373.899784452195","nest_bird","2_9"
"255","Center01_Glass","","point","193.6290159309122,335.3752934116167,4074.518539101237","nest_bird","2_8"
"256","Center01_Glass","","point","188.7554659621764,326.9340572528362,3776.074823673408","nest_bird","2_7"
"257","Center01_Glass","","point","184.8387327015882,320.1500762458023,3476.563246861045","nest_bird","2_6"
"258","Center01_Glass","","point","181.9407904786177,315.1306930782177,3178.017515251804","nest_bird","2_5"
"259","Center01_Glass","","point","180.0155090738635,311.7960078659645,2878.428438126743","nest_bird","2_4"
"260","Center01_Glass","","point","179.0877867279518,310.1891456276093,2578.820361981266","nest_bird","2_3"
"261","Center01_Glass","","point","178.9999999999944,310.0370945548246,2280.000000000005","nest_bird","2_2"
"262","Center01_Glass","","point","178.9999999999931,310.0370945548254,1980.000000000005","nest_bird","2_1"
